id,name,quantity,price,date,category
1,Product_1,78.0,37.57,2023-01-01 00:00:00,Category_4
2,Product_2,14.0,65.9,2023-01-01 01:00:00,Category_3
3,Product_3,29.0,70.71,2023-01-01 02:00:00,Category_4
4,Product_4,87.0,84.11,2023-01-01 03:00:00,Category_1
5,Product_5,65.0,32.34,2023-01-01 04:00:00,Category_1
6,Product_6,66.0,87.13,2023-01-01 05:00:00,Category_1
7,Product_7,24.0,24.49,2023-01-01 06:00:00,Category_5
8,Product_8,15.0,14.51,2023-01-01 07:00:00,Category_3
9,Product_9,96.0,12.18,2023-01-01 08:00:00,Category_4
10,Product_10,39.0,26.41,2023-01-01 09:00:00,Category_1
11,Product_11,95.0,47.22,2023-01-01 10:00:00,Category_5
12,Product_12,83.0,40.09,2023-01-01 11:00:00,Category_4
13,Product_13,19.0,64.74,2023-01-01 12:00:00,Category_4
14,Product_14,83.0,46.7,2023-01-01 13:00:00,Category_2
15,Product_15,18.0,66.09,2023-01-01 14:00:00,Category_1
16,Product_16,65.0,10.93,2023-01-01 15:00:00,Category_4
17,Product_17,77.0,74.94,2023-01-01 16:00:00,Category_2
18,Product_18,76.0,11.81,2023-01-01 17:00:00,Category_5
19,Product_19,7.0,69.88,2023-01-01 18:00:00,Category_4
20,Product_20,10.0,99.47,2023-01-01 19:00:00,Category_2
21,Product_21,24.0,5.84,2023-01-01 20:00:00,Category_5
22,Product_22,75.0,45.83,2023-01-01 21:00:00,Category_5
23,Product_23,75.0,17.33,2023-01-01 22:00:00,Category_5
24,Product_24,49.0,83.04,2023-01-01 23:00:00,Category_3
25,Product_25,82.0,90.5,2023-01-02 00:00:00,Category_3
26,Product_26,85.0,99.81,2023-01-02 01:00:00,Category_3
27,Product_27,17.0,67.82,2023-01-02 02:00:00,Category_1
28,Product_28,34.0,37.41,2023-01-02 03:00:00,Category_2
29,Product_29,73.0,30.3,2023-01-02 04:00:00,Category_4
30,Product_30,27.0,93.7,2023-01-02 05:00:00,Category_4
31,Product_31,96.0,96.83,2023-01-02 06:00:00,Category_5
32,Product_32,69.0,49.51,2023-01-02 07:00:00,Category_5
33,Product_33,81.0,78.24,2023-01-02 08:00:00,Category_2
34,Product_34,89.0,42.45,2023-01-02 09:00:00,Category_2
35,Product_35,11.0,72.25,2023-01-02 10:00:00,Category_2
